rownum|selectedcount|totalcount|statnfid|statnfnm|statntid|statntnm|sctntime|sctndstnc|statnf_cd|statnf_line|statnt_cd|statnt_line
11|8|8|1001000130|종로3가|1001000129|종로5가|2|900|0153|01호선|0154|01호선
175|8|8|1005000534|종로3가|1005000535|을지로4가|2|1000|2535|05호선|2536|05호선
362|8|8|1003000329|종로3가|1003000328|안국|2|1000|0319|03호선|0318|03호선
450|8|8|1005000534|종로3가|1005000533|광화문|2|1200|2535|05호선|2534|05호선
727|8|8|1001000130|종로3가|1001000131|종각|2|800|0153|01호선|0152|01호선
1332|8|8|1003000329|종로3가|1003000330|을지로3가|2|600|0319|03호선|0320|03호선
137|5|5|1001000129|종로5가|1001000128|동대문|2|800|0154|01호선|0155|01호선
207|5|5|1001000129|종로5가|1001000130|종로3가|2|900|0154|01호선|0153|01호선
122|10|10|1004000421|동대문|1004000422|동대문역사문화공원|2|700|0421|04호선|0422|04호선
164|10|10|1004000421|동대문|1004000420|혜화|2|1500|0421|04호선|0420|04호선
249|10|10|1004000421|동대문|1001000127|동묘앞|2|600|0155|01호선|0159|01호선
379|10|10|1001000128|동대문|1001000129|종로5가|2|800|0155|01호선|0154|01호선
12|5|5|1001000126|신설동|1001000125|제기동|2|900|0156|01호선|0157|01호선
373|5|5|1002002114|신설동|1002002113|용두|2|1200|0246|02호선|0250|02호선
724|5|5|1001000126|신설동|1001000127|동묘앞|2|700|0156|01호선|0159|01호선
138|4|4|1001000125|제기동|1001000124|청량리|2|1000|0157|01호선|0158|01호선
206|4|4|1001000125|제기동|1001000126|신설동|2|900|0157|01호선|0156|01호선
723|4|4|1001000124|청량리|1001000125|제기동|2|1000|0158|01호선|0157|01호선
852|4|4|1001000124|청량리|1001000123|회기|2|1400|0158|01호선|1015|01호선
852|4|4|1001000124|청량리|1001000123|회기|2|1400|1014|경의선|101C|경의선
852|4|4|1001000124|청량리|1001000123|회기|2|1400|1306|경춘선|1307|경춘선
516|7|7|1006000636|동묘앞|1006000635|신당|2|600|2637|06호선|2636|06호선
535|7|7|1001000127|동묘앞|1001000128|동대문|2|600|0159|01호선|0155|01호선
850|7|7|1001000127|동묘앞|1001000126|신설동|2|700|0159|01호선|0156|01호선
1183|7|7|1006000636|동묘앞|1006000637|창신|2|900|2637|06호선|2638|06호선
