transfer|statnfnm|statntnm|sctntime|statnf_cd|statnf_line|statnt_cd|statnt_line
0|종로3가|종로5가|2|0153|01호선|0154|01호선
0|종로3가|을지로4가|2|2535|05호선|2536|05호선
0|종로3가|안국|2|0319|03호선|0318|03호선
0|종로3가|광화문|2|2535|05호선|2534|05호선
0|종로3가|종각|2|0153|01호선|0152|01호선
0|종로3가|을지로3가|2|0319|03호선|0320|03호선
0|종로5가|동대문|2|0154|01호선|0155|01호선
0|종로5가|종로3가|2|0154|01호선|0153|01호선
0|동대문|동대문역사문화공원|2|0421|04호선|0422|04호선
0|동대문|혜화|2|0421|04호선|0420|04호선
0|동대문|동묘앞|2|0155|01호선|0159|01호선
0|동대문|종로5가|2|0155|01호선|0154|01호선
0|신설동|제기동|2|0156|01호선|0157|01호선
0|신설동|용두|2|0246|02호선|0250|02호선
0|신설동|동묘앞|2|0156|01호선|0159|01호선
0|제기동|청량리|2|0157|01호선|0158|01호선
0|제기동|신설동|2|0157|01호선|0156|01호선
0|청량리|제기동|2|0158|01호선|0157|01호선
0|청량리|회기|2|0158|01호선|1015|01호선
0|청량리|회기|2|1014|경의선|101C|경의선
0|청량리|회기|2|1306|경춘선|1307|경춘선
0|동묘앞|신당|2|2637|06호선|2636|06호선
0|동묘앞|동대문|2|0159|01호선|0155|01호선
0|동묘앞|신설동|2|0159|01호선|0156|01호선
0|동묘앞|창신|2|2637|06호선|2638|06호선
0|까치산|신정네거리|3|0200|02호선|0249|02호선
0|까치산|화곡|2|2519|05호선|2518|05호선
0|까치산|신정|2|2519|05호선|2520|05호선
0|시청|종각|2|0151|01호선|0152|01호선
0|시청|서울|2|0151|01호선|0150|01호선
0|시청|을지로입구|2|0201|02호선|0202|02호선
0|시청|충정로|2|0201|02호선|0243|02호선
0|을지로입구|을지로3가|2|0202|02호선|0203|02호선
0|을지로입구|시청|2|0202|02호선|0201|02호선
0|을지로3가|충무로|2|0320|03호선|0321|03호선
0|을지로3가|을지로4가|2|0203|02호선|0204|02호선
0|을지로3가|을지로입구|2|0203|02호선|0202|02호선
0|을지로3가|종로3가|2|0320|03호선|0319|03호선
0|을지로4가|종로3가|2|2536|05호선|2535|05호선
0|을지로4가|동대문역사문화공원|2|0204|02호선|0205|02호선
0|을지로4가|동대문역사문화공원|2|2536|05호선|2537|05호선
0|을지로4가|을지로3가|2|0204|02호선|0203|02호선
0|동대문역사문화공원|충무로|2|0422|04호선|0423|04호선
0|동대문역사문화공원|신당|2|0205|02호선|0206|02호선
0|동대문역사문화공원|을지로4가|2|0205|02호선|0204|02호선
0|동대문역사문화공원|을지로4가|2|2537|05호선|2536|05호선
0|동대문역사문화공원|동대문|2|0422|04호선|0421|04호선
0|동대문역사문화공원|청구|2|2537|05호선|2538|05호선
0|신당|청구|2|2636|06호선|2635|06호선
0|신당|상왕십리|2|0206|02호선|0207|02호선
0|신당|동대문역사문화공원|2|0206|02호선|0205|02호선
0|신당|동묘앞|2|2636|06호선|2637|06호선
0|상왕십리|왕십리|2|0207|02호선|0208|02호선
0|상왕십리|신당|2|0207|02호선|0206|02호선
0|왕십리|서울숲|3|102C|분당선|1847|분당선
0|왕십리|상왕십리|2|0208|02호선|0207|02호선
0|왕십리|행당|2|2541|05호선|2540|05호선
0|왕십리|한양대|2|0208|02호선|0209|02호선
0|왕십리|마장|2|2541|05호선|2542|05호선
0|한양대|뚝섬|2|0209|02호선|0210|02호선
0|한양대|왕십리|2|0209|02호선|0208|02호선
0|뚝섬|한양대|2|0210|02호선|0209|02호선
0|뚝섬|성수|2|0210|02호선|0211|02호선
0|성수|용답|4|0211|02호선|0244|02호선
0|성수|건대입구|2|0211|02호선|0212|02호선
0|성수|뚝섬|2|0211|02호선|0210|02호선
0|건대입구|뚝섬유원지|2|2729|07호선|2730|07호선
0|건대입구|어린이대공원|2|2729|07호선|2728|07호선
0|건대입구|구의|2|0212|02호선|0213|02호선
0|건대입구|성수|2|0212|02호선|0211|02호선
0|구의|건대입구|2|0213|02호선|0212|02호선
0|구의|강변|2|0213|02호선|0214|02호선
0|강변|잠실나루|3|0214|02호선|0215|02호선
0|강변|구의|2|0214|02호선|0213|02호선
0|잠실나루|강변|3|0215|02호선|0214|02호선
0|잠실나루|잠실|2|0215|02호선|0216|02호선
0|잠실|잠실나루|2|0216|02호선|0215|02호선
0|잠실|석촌|2|2815|08호선|2816|08호선
0|잠실|잠실새내|2|0216|02호선|0217|02호선
0|잠실|몽촌토성|2|2815|08호선|2814|08호선
0|종합운동장|삼성|2|0218|02호선|0219|02호선
0|종합운동장|잠실새내|2|0218|02호선|0217|02호선
0|삼성|종합운동장|2|0219|02호선|0218|02호선
0|삼성|선릉|2|0219|02호선|0220|02호선
0|선릉|선정릉|2|1023|분당선|1850|분당선
0|선릉|삼성|2|0220|02호선|0219|02호선
0|선릉|한티|2|1023|분당선|1024|분당선
0|선릉|역삼|2|0220|02호선|0221|02호선
0|역삼|강남|2|0221|02호선|0222|02호선
0|역삼|선릉|2|0221|02호선|0220|02호선
0|강남|양재|2|4307|신분당선|4308|신분당선
0|강남|역삼|2|0222|02호선|0221|02호선
0|강남|교대|2|0222|02호선|0223|02호선
0|교대|강남|2|0223|02호선|0222|02호선
0|교대|서초|2|0223|02호선|0224|02호선
0|교대|고속터미널|2|0330|03호선|0329|03호선
0|교대|남부터미널|2|0330|03호선|0331|03호선
0|서초|교대|2|0224|02호선|0223|02호선
0|서초|방배|3|0224|02호선|0225|02호선
0|방배|사당|2|0225|02호선|0226|02호선
0|방배|서초|3|0225|02호선|0224|02호선
0|사당|남태령|2|0433|04호선|0434|04호선
0|사당|방배|2|0226|02호선|0225|02호선
0|사당|낙성대|3|0226|02호선|0227|02호선
0|낙성대|서울대입구|2|0227|02호선|0228|02호선
0|낙성대|사당|3|0227|02호선|0226|02호선
0|서울대입구|봉천|2|0228|02호선|0229|02호선
0|서울대입구|낙성대|2|0228|02호선|0227|02호선
0|봉천|신림|2|0229|02호선|0230|02호선
0|봉천|서울대입구|2|0229|02호선|0228|02호선
0|신림|신대방|3|0230|02호선|0231|02호선
0|신림|봉천|2|0230|02호선|0229|02호선
0|신대방|구로디지털단지|2|0231|02호선|0232|02호선
0|신대방|신림|3|0231|02호선|0230|02호선
0|구로디지털단지|신대방|2|0232|02호선|0231|02호선
0|구로디지털단지|대림|2|0232|02호선|0233|02호선
0|신도림|도림천|2|0234|02호선|0247|02호선
0|신도림|영등포|2|1007|01호선|1006|01호선
0|신도림|구로|2|1007|01호선|1701|01호선
