index|날짜|호선|역번호|역명|구분|05 ~ 06|06 ~ 07|07 ~ 08|08 ~ 09|09 ~ 10|10 ~ 11|11 ~ 12|12 ~ 13|13 ~ 14|14 ~ 15|15 ~ 16|16 ~ 17|17 ~ 18|18 ~ 19|19 ~ 20|20 ~ 21|21 ~ 22|22 ~ 23|23 ~ 24|00 ~ 01|합 계
29150|2019-02-23|1호선|150|서울역|승차-하차|||||||||||1593|768|||||836|1173|||
29152|2019-02-23|1호선|151|시청|승차-하차|||||||||||154|1834|||||1090|508|||
29154|2019-02-23|1호선|152|종각|승차-하차|||||||||||390|1219|||||3192|2965|||
29156|2019-02-23|1호선|153|종로3가|승차-하차|||||||||||468|1203|||||2249|1907|||
29158|2019-02-23|1호선|154|종로5가|승차-하차|||||||||||304|664|||||1051|780|||
29160|2019-02-23|1호선|155|동대문|승차-하차|||||||||||-130|133|||||57|16|||
29170|2019-02-23|2호선|201|시청|승차-하차|||||||||||519|1416|||||400|283|||
29172|2019-02-23|2호선|202|을지로입구|승차-하차|||||||||||446|1642|||||2570|1583|||
29174|2019-02-23|2호선|203|을지로3가|승차-하차|||||||||||251|452|||||672|500|||
29176|2019-02-23|2호선|204|을지로4가|승차-하차|||||||||||458|610|||||187|75|||
29178|2019-02-23|2호선|205|동대문역사문화공원|승차-하차|||||||||||-180|214|||||270|453|||
29184|2019-02-23|2호선|208|왕십리(성동구청)|승차-하차|||||||||||72|141|||||272|354|||
29186|2019-02-23|2호선|209|한양대|승차-하차|||||||||||-65|328|||||62|62|||
29188|2019-02-23|2호선|210|뚝섬|승차-하차|||||||||||-146|249|||||168|-147|||
29190|2019-02-23|2호선|211|성수|승차-하차|||||||||||-438|-352|||||710|543|||
29192|2019-02-23|2호선|212|건대입구|승차-하차|||||||||||-1044|-1144|||||1148|2116|||
29200|2019-02-23|2호선|216|잠실(송파구청)|승차-하차|||||||||||-128|230|||||4116|3182|||
29202|2019-02-23|2호선|217|잠실새내|승차-하차|||||||||||-16|-368|||||-147|189|||
29204|2019-02-23|2호선|218|종합운동장|승차-하차|||||||||||-489|-547|||||558|-151|||
29206|2019-02-23|2호선|219|삼성(무역센터)|승차-하차|||||||||||-66|922|||||3381|2298|||
29208|2019-02-23|2호선|220|선릉|승차-하차|||||||||||987|1552|||||991|959|||
29210|2019-02-23|2호선|221|역삼|승차-하차|||||||||||543|1041|||||975|606|||
29212|2019-02-23|2호선|222|강남|승차-하차|||||||||||328|2061|||||4411|6363|||
29214|2019-02-23|2호선|223|교대(법원.검찰청)|승차-하차|||||||||||271|122|||||879|799|||
29216|2019-02-23|2호선|224|서초|승차-하차|||||||||||488|388|||||391|218|||
29218|2019-02-23|2호선|225|방배|승차-하차|||||||||||143|364|||||144|-228|||
29220|2019-02-23|2호선|226|사당|승차-하차|||||||||||9|-1019|||||500|531|||
29236|2019-02-23|2호선|234|신도림|승차-하차|||||||||||-157|635|||||105|-383|||
29238|2019-02-23|2호선|235|문래|승차-하차|||||||||||203|231|||||30|70|||
29244|2019-02-23|2호선|238|합정|승차-하차|||||||||||-958|-652|||||1725|2007|||
29246|2019-02-23|2호선|239|홍대입구|승차-하차|||||||||||-4836|-3792|||||5822|7593|||
29248|2019-02-23|2호선|240|신촌|승차-하차|||||||||||-401|-322|||||2218|3063|||
29250|2019-02-23|2호선|241|이대|승차-하차|||||||||||-56|446|||||324|71|||
29260|2019-02-23|2호선|246|신설동|승차-하차|||||||||||293|455|||||18|4|||
29286|2019-02-23|3호선|317|경복궁(정부서울청사)|승차-하차|||||||||||397|1428|||||646|494|||
29288|2019-02-23|3호선|318|안국|승차-하차|||||||||||-126|1144|||||1030|577|||
29290|2019-02-23|3호선|319|종로3가|승차-하차|||||||||||-721|-542|||||439|429|||
29292|2019-02-23|3호선|320|을지로3가|승차-하차|||||||||||64|99|||||343|260|||
29294|2019-02-23|3호선|322|동대입구|승차-하차|||||||||||-430|-204|||||477|263|||
29302|2019-02-23|3호선|326|압구정|승차-하차|||||||||||703|1421|||||1242|887|||
29304|2019-02-23|3호선|327|신사|승차-하차|||||||||||-90|566|||||1878|2016|||
29308|2019-02-23|3호선|329|고속터미널|승차-하차|||||||||||136|-48|||||2232|1171|||
29310|2019-02-23|3호선|330|교대(법원.검찰청)|승차-하차|||||||||||349|466|||||537|594|||
29312|2019-02-23|3호선|331|남부터미널(예술의전당)|승차-하차|||||||||||14|250|||||697|457|||
29314|2019-02-23|3호선|332|양재(서초구청)|승차-하차|||||||||||501|935|||||868|337|||
29316|2019-02-23|3호선|333|매봉|승차-하차|||||||||||131|178|||||121|27|||
29318|2019-02-23|3호선|334|도곡|승차-하차|||||||||||85|37|||||12|-39|||
29320|2019-02-23|3호선|335|대치|승차-하차|||||||||||157|201|||||127|674|||
29322|2019-02-23|3호선|336|학여울|승차-하차|||||||||||47|250|||||19|-30|||
29354|2019-02-23|4호선|418|성신여대입구(돈암)|승차-하차|||||||||||-92|-212|||||24|35|||
29358|2019-02-23|4호선|420|혜화|승차-하차|||||||||||-1639|-550|||||4137|3967|||
29360|2019-02-23|4호선|421|동대문|승차-하차|||||||||||1067|1468|||||664|725|||
29362|2019-02-23|4호선|422|동대문역사문화공원|승차-하차|||||||||||326|973|||||916|827|||
29364|2019-02-23|4호선|423|충무로|승차-하차|||||||||||327|562|||||816|781|||
29366|2019-02-23|4호선|424|명동|승차-하차|||||||||||-1105|-198|||||2221|2470|||
